=== Logger: VulkanApp ===
[11:59:33.276] [VulkanApp] [INFO] Vulkan Application Starting

  === Logger: Renderer ===
  [11:59:38.488] [Renderer] [INFO] FPS: 2673.80 | Avg: 2372.14 | Min: 70.10 | Max: 6410.26 | Frames: 8940
  [11:59:38.521] [Renderer] [INFO] FPS: 1222.49 | Avg: 2367.27 | Min: 70.10 | Max: 6410.26 | Frames: 9000
  [11:59:38.552] [Renderer] [INFO] FPS: 2004.01 | Avg: 2364.01 | Min: 70.10 | Max: 6410.26 | Frames: 9060
  [11:59:38.584] [Renderer] [INFO] FPS: 2053.39 | Avg: 2360.20 | Min: 70.10 | Max: 6410.26 | Frames: 9120
  [11:59:38.618] [Renderer] [INFO] FPS: 2481.39 | Avg: 2354.95 | Min: 70.10 | Max: 6410.26 | Frames: 9180
  [11:59:38.650] [Renderer] [INFO] FPS: 2469.14 | Avg: 2351.11 | Min: 70.10 | Max: 6410.26 | Frames: 9240
  [11:59:38.680] [Renderer] [INFO] FPS: 2770.08 | Avg: 2348.05 | Min: 70.10 | Max: 6410.26 | Frames: 9300
  [11:59:38.710] [Renderer] [INFO] FPS: 2857.14 | Avg: 2345.44 | Min: 70.10 | Max: 6410.26 | Frames: 9360
  [11:59:38.740] [Renderer] [INFO] FPS: 2127.66 | Avg: 2342.92 | Min: 70.10 | Max: 6410.26 | Frames: 9420
  [11:59:38.772] [Renderer] [INFO] FPS: 1177.86 | Avg: 2339.34 | Min: 70.10 | Max: 6410.26 | Frames: 9480
  [11:59:38.807] [Renderer] [INFO] FPS: 2770.08 | Avg: 2333.95 | Min: 70.10 | Max: 6410.26 | Frames: 9540
  [11:59:38.841] [Renderer] [INFO] FPS: 2087.68 | Avg: 2329.13 | Min: 70.10 | Max: 6410.26 | Frames: 9600
  [11:59:38.874] [Renderer] [INFO] FPS: 2409.64 | Avg: 2325.53 | Min: 70.10 | Max: 6410.26 | Frames: 9660
  [11:59:38.906] [Renderer] [INFO] FPS: 2777.78 | Avg: 2321.81 | Min: 70.10 | Max: 6410.26 | Frames: 9720
  [11:59:38.937] [Renderer] [INFO] FPS: 1468.43 | Avg: 2318.77 | Min: 70.10 | Max: 6410.26 | Frames: 9780
  [11:59:38.968] [Renderer] [INFO] FPS: 2320.19 | Avg: 2315.92 | Min: 70.10 | Max: 6410.26 | Frames: 9840
  [11:59:39.000] [Renderer] [INFO] FPS: 3184.71 | Avg: 2312.67 | Min: 70.10 | Max: 6410.26 | Frames: 9900
  [11:59:39.030] [Renderer] [INFO] FPS: 859.11 | Avg: 2310.59 | Min: 70.10 | Max: 6410.26 | Frames: 9960
  [11:59:39.056] [Renderer] [INFO] FPS: 2793.30 | Avg: 2310.59 | Min: 70.10 | Max: 6410.26 | Frames: 10020
  [11:59:39.089] [Renderer] [INFO] FPS: 2457.00 | Avg: 2307.29 | Min: 70.10 | Max: 6410.26 | Frames: 10080
  [11:59:39.118] [Renderer] [INFO] FPS: 1760.56 | Avg: 2305.60 | Min: 70.10 | Max: 6410.26 | Frames: 10140
  [11:59:39.149] [Renderer] [INFO] FPS: 2873.56 | Avg: 2302.93 | Min: 70.10 | Max: 6410.26 | Frames: 10200
  [11:59:39.182] [Renderer] [INFO] FPS: 1677.85 | Avg: 2299.11 | Min: 70.10 | Max: 6410.26 | Frames: 10260
  [11:59:39.213] [Renderer] [INFO] FPS: 2538.07 | Avg: 2296.60 | Min: 70.10 | Max: 6410.26 | Frames: 10320
  [11:59:39.244] [Renderer] [INFO] FPS: 2506.27 | Avg: 2294.14 | Min: 70.10 | Max: 6410.26 | Frames: 10380
  [11:59:39.275] [Renderer] [INFO] FPS: 2427.18 | Avg: 2291.93 | Min: 70.10 | Max: 6410.26 | Frames: 10440
  [11:59:39.309] [Renderer] [INFO] FPS: 2070.39 | Avg: 2287.79 | Min: 70.10 | Max: 6410.26 | Frames: 10500
  [11:59:39.340] [Renderer] [INFO] FPS: 2638.52 | Avg: 2285.90 | Min: 70.10 | Max: 6410.26 | Frames: 10560
  [11:59:39.373] [Renderer] [INFO] FPS: 2906.98 | Avg: 2282.62 | Min: 70.10 | Max: 6410.26 | Frames: 10620
  [11:59:39.405] [Renderer] [INFO] FPS: 2717.39 | Avg: 2279.83 | Min: 70.10 | Max: 6410.26 | Frames: 10680
  [11:59:39.435] [Renderer] [INFO] FPS: 3759.40 | Avg: 2277.95 | Min: 70.10 | Max: 6410.26 | Frames: 10740
